Designator,Mid X,Mid Y,Rotation,Layer
C2,153.96,-116.69,0.0,top
C3,164.36,-111.38,0.0,top
C5,158.1,-111.45,180.0,top
D1,128.36,-111.54,0.0,top
D2,128.36,-114.75,0.0,top
D3,128.4,-118.0,0.0,top
D4,138.7,-111.525,0.0,top
J1,123.5,-124.75,180.0,bottom
J2,106.0,-70.3,0.0,top
J3,106.0,-159.3,0.0,top
J4,183.0,-70.3,0.0,top
J5,183.0,-159.3,0.0,top
R1,141.9,-111.55,180.0,top
R3,161.165,-116.97,180.0,top
SC1,121.09,-87.57,0.0,top
SC2,121.12,-141.92,0.0,top
SC3,144.49,-87.57,0.0,top
SC4,144.45,-141.94,0.0,top
SC5,167.86,-87.57,0.0,top
SC6,168.0,-141.97,0.0,top
TP1,118.37,-112.45,90.0,top
TP2,118.36,-117.05,90.0,top
U1,147.175,-113.525,180.0,top
U2,154.45,-114.42,90.0,top
U3,161.18,-114.35,0.0,top
