Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,1uF,
"C10, C7",0805,2,0.1uF,
"C5, C6",0805,2,0.01uF,
"C8, C9",0805,2,10uF,
"D2, D3, D4",DO-214AC,3,CDBA240LL-HF,
D5,0603,1,CQY99,
"FB1, FB2, FB3",0603,3,FerriteBead,
J1,CON_5040500591,1,CON-5040500591,
J2,ScrewTerminal,1,Screw_Terminal_01x02,
J3,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
"J4, J5, J6, J7",MountingHoles,4,Conn_01x01,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
"R1, R5",0603,2,1k,
R2,0603,1,1-MOhm,
"R3, R4",0603,2,100-Ohm,
R6,0603,1,10k-Ohm,
"SC1, SC2, SC3, SC4, SC5, SC6",KXOB101K08F-TR,6,SM101K07TF,
"TP1, TP2",Test Pad,2,TestPoint,
U1,XDCR_VEML7700-TT,1,VEML7700,
U2,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,
U3,MCP9808-NoLeadPackage,1,MCP9808_DFN,
U4,MSOP-8_3x3mm_P0.65mm,1,AD8495,
U5,TSSOP-10_3x3mm_P0.5mm,1,ADS1015IDGS,
U6,SOT-23,1,TLVH431 DBZ SOT-23,
