Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,163.568249,-70.52369,135.0,top
C2,1uF,C_0805_2012Metric,136.457014,-94.591481,135.0,top
C3,1uF,C_0805_2012Metric,140.529949,-90.476119,135.0,top
D1,CDBA240LL-HF,DO-214AC,185.575786,-121.174214,45.0,top
D2,CDBA240LL-HF,DO-214AC,113.835786,-49.164214,45.0,top
D3,CDBA240LL-HF,DO-214AC,132.564214,-101.904214,135.0,top
D4,CQY99,LED_0603_1608Metric,168.283153,-69.123153,135.0,top
J1,CON-5040500591,CON_5040500591,136.278501,-102.645,180.0,bottom
J2,Face0,CON_5040500591,120.285001,-100.618501,270.0,bottom
J3,Face1,CON_5040500591,175.881499,-52.335001,0.0,bottom
J4,Conn_01x01,MountingHoles,110.5,-85.0,0.0,top
J5,Conn_01x01,MountingHoles,149.5,-124.0,0.0,top
J6,Conn_01x01,MountingHoles,149.5,-46.0,0.0,top
J7,Conn_01x01,MountingHoles,188.5,-85.0,0.0,top
J8,Face2,CON_5040500591,178.625,-65.211499,90.0,bottom
J9,Face3,CON_5040500591,123.618501,-116.605,180.0,bottom
R1,1k,R_0603_1608Metric,165.419368,-66.315938,-45.0,top
SC1,SM101K07TF,KXOB101K08F-TR,176.337864,-95.337864,-135.0,top
SC2,SM101K07TF,KXOB101K08F-TR,176.32,-58.2,-135.0,top
SC3,SM101K07TF,KXOB101K08F-TR,139.142136,-58.122136,45.0,top
SC4,SM101K07TF,KXOB101K08F-TR,122.682136,-74.592136,-135.0,top
SC5,SM101K07TF,KXOB101K08F-TR,122.68,-111.8,45.0,top
SC6,SM101K07TF,KXOB101K08F-TR,159.897864,-111.807864,45.0,top
TP1,TestPoint,Test Pad,113.41,-130.95,90.0,top
TP2,TestPoint,Test Pad,119.89,-130.92,90.0,top
U1,VEML7700,XDCR_VEML7700-TT,157.166396,-78.986396,135.0,top
U2,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,140.742082,-94.732902,-45.0,top
U3,MCP9808_DFN,MSOP-8-1EP_3x3mm_P0.65mm_EP2.5x3mm_Mask1.73x2.36mm,162.041249,-72.946863,-45.0,top
U4,~,mux_driver,173.42,-110.355,0.0,bottom
U5,~,camera_daughter,119.245915,-54.663108,315.0,bottom
