Designator,Mid X,Mid Y,Rotation,Layer
C1,153.55,-64.285,180.0,top
C10,158.89,-74.55,90.0,bottom
C2,147.51,-104.54,180.0,top
C3,147.48,-98.75,180.0,top
C4,166.63,-88.72,180.0,bottom
C5,162.59,-81.12,0.0,bottom
C6,162.61,-87.42,180.0,bottom
C7,163.56,-84.27,90.0,bottom
C8,170.53,-72.01,90.0,bottom
C9,155.2,-74.57,270.0,bottom
D2,105.65,-52.59,90.0,top
D3,139.59,-107.77,180.0,top
D4,139.68,-113.09,0.0,top
D5,134.6025,-86.48,180.0,top
FB1,157.135,-77.25,180.0,bottom
FB2,156.965,-71.95,180.0,bottom
FB3,169.54,-89.235,270.0,bottom
J1,141.75,-99.75,0.0,bottom
J2,150.85,-84.2,90.0,bottom
J3,146.0,-86.71,90.0,bottom
J4,110.5,-85.0,0.0,top
J5,141.75,-124.0,0.0,top
J6,157.25,-46.0,0.0,top
J7,188.5,-85.0,0.0,top
R1,130.5925,-86.52,0.0,top
R2,157.21,-89.605,270.0,bottom
R3,157.065,-82.66,0.0,bottom
R4,157.035,-85.69,180.0,bottom
R5,168.255,-77.35,0.0,bottom
R6,168.3,-67.655,270.0,bottom
SC1,131.87,-46.63,90.0,top
SC2,176.76,-56.94,0.0,top
SC3,121.72,-113.09,180.0,top
SC4,121.62,-69.85,90.0,top
SC5,166.93,-123.24,90.0,top
SC6,177.44,-99.92,270.0,top
TP1,104.05,-106.11,0.0,top
TP2,104.08,-112.59,0.0,top
U1,155.25,-74.0,0.0,top
U2,150.64,-101.61,0.0,top
U3,153.23,-66.83,270.0,top
U4,167.905,-84.2275,270.0,bottom
U5,166.15,-71.06,180.0,bottom
U6,164.5925,-76.39,180.0,bottom
